Fund,Department,Division,Account,Amount,Current,Annotation,
Parking Services Fund,Transportation,Parking Garage Divison,Workers Compensation,-1125.0,15077.0,
Parking Services Fund,Transportation,Parking Garage Divison,Group Insurance Expense,27311.0,100707.0,
General Fund,Public Works,Streets & Sidewalks Division,Group Insurance Expense,-14506.0,83664.0,
Water Services Fund,Water,Meter Services Division,Cellular Usage,3668.0,14000.0,
General Fund,Parks Rec & Cultural Arts,Recreation Division,Compensation - Temp/Seasonal,284.0,22000.0,
General Fund,Parks Rec & Cultural Arts,Recreation Division,Compensation - Part Time,2330.0,82330.0,
Water Services Fund,Water,Water Production Division,Supplies - Other,-500.0,1500.0,
General Fund,Public Works,Streets & Sidewalks Division,FICA Tax Expense,1935.0,23558.0,
General Fund,Public Works,Streets & Sidewalks Division,Employer - LGERS,1779.0,21772.0,
General Fund,Public Works,Streets & Sidewalks Division,Employer - 401(K),635.0,15397.0,
Water Services Fund,Water,Customer Service Division,Rental/Lease,-1276.0,4000.0,
Water Services Fund,Water,Customer Service Division,Contracted Services,-2565.0,16000.0,
Stormwater Fund,Public Works,Stormwater Admin Division,Installment Purch Proceed,206000.0,206000.0,
General Fund,Finance,Finance Administration,Prior Year DMV  Taxes 2005,0.0,186922.0,
Water Services Fund,Water,Customer Service Division,All Other Expenses,-6225.0,3100.0,
Stormwater Fund,Public Works,Stormwater Admin Division,Fines & Fees Permit Penalties,-15000.0,5000.0,
General Fund,Parks Rec & Cultural Arts,Parks Maintenance Division,Rents - Rental Income,5000.0,15000.0,
Street Cut Utility Fund,Public Works,CAFR Preparation,Compensation - Full Time Reg,16052.8,0.0,
Water Services Fund,Water,Water Production Division,Supplies - Chemical & Lab,-18437.0,178500.0,
Water Services Fund,Water,Water Production Division,Supplies - Other,21500.0,24000.0,
General Fund,Legal,Legal Division,Compensation - Overtime,-518.0,0.0,
Mass Transit Fund,Transportation,Transit Operations Division,Sales Tax Refunds,1000.0,25000.0,
General Fund,Legal,Legal Division,Compensation - Full Time Reg,19969.0,496032.0,
General Fund,Legal,Legal Division,Compensation - Temp/Seasonal,45760.0,45760.0,
General Fund,Public Works,Engineering Services Division,Materials,-60588.0,50000.0,
