LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2010,2011,2012,2013,2014,LEVEL
Workers' Compensation Fund,Finance/Workers Compensation,Insurance - Premiums,,,,0.0,0.0,0.0,0.0,230000.0,3
Workers' Compensation Fund,Finance/Workers Compensation,Contracted Services,,,,0.0,0.0,0.0,0.0,35000.0,3
Workers' Compensation Fund,Finance/Workers Compensation,Administration Fees,,,,0.0,0.0,0.0,0.0,60000.0,3
Workers' Compensation Fund,Finance/Workers Compensation,Insurance - Claims,,,,0.0,0.0,0.0,0.0,800000.0,3
Workers' Compensation Fund,Finance/Workers Compensation Total,,,,,0.0,0.0,0.0,0.0,1125000.0,2
Workers' Compensation Fund Total,,,,,,0.0,0.0,0.0,0.0,1125000.0,1
Civic Center Fund,Civic Center/Event Personnel Division,Compensation - Full Time Reg,,,,50056.67,51300.72,51945.78,50502.0,53285.0,3
Civic Center Fund,Civic Center/Event Personnel Division,FICA Tax Expense,,,,9987.53,12581.33,10962.35,10732.0,12243.0,3
Civic Center Fund,Civic Center/Event Personnel Division,Group Insurance Expense,,,,6718.0,8925.0,8925.0,11027.0,9296.0,3
Civic Center Fund,Civic Center/Event Personnel Division,All Other Expenses,,,,4944.15,5825.9,6250.58,6301.0,7759.0,3
Civic Center Fund,Civic Center/Event Personnel Division,Compensation - Temp/Seasonal,,,,85199.55,120239.65,95757.42,95757.0,95757.0,3
Civic Center Fund,Civic Center/Event Personnel Division,Compensation - Overtime,,,,67.76,156.0,141.21,5850.0,11000.0,3
Civic Center Fund,Civic Center/Event Personnel Division Total,,,,,156973.66000000003,199028.59999999998,173982.34,180169.0,189340.0,2
Civic Center Fund,Civic Center/Operations Division,All Other Expenses,,,,2585.72,2449.99,2278.57,2500.0,3000.0,3
Civic Center Fund,Civic Center/Operations Division,Compensation - Full Time Reg,,,,265444.94,263692.56,273898.06,292122.0,240205.0,3
Civic Center Fund,Civic Center/Operations Division,Group Insurance Expense,,,,53764.0,71423.0,71423.0,71423.0,55776.0,3
Civic Center Fund,Civic Center/Operations Division,Employer - 401(K),,,,13774.75,13495.97,14047.8,15442.0,12610.0,3
Civic Center Fund,Civic Center/Operations Division,FICA Tax Expense,,,,21464.41,21340.67,22689.27,27216.0,20173.0,3
Civic Center Fund,Civic Center/Operations Division,Employer - LGERS,,,,13455.24,17243.06,19329.86,21248.0,17831.0,3
Civic Center Fund,Civic Center/Operations Division,Compensation - Temp/Seasonal,,,,17011.03,16029.34,31704.19,26442.0,11500.0,3
Civic Center Fund,Civic Center/Operations Division,Compensation - Overtime,,,,7582.26,6107.69,5252.22,7173.0,9000.0,3
Civic Center Fund,Civic Center/Operations Division Total,,,,,395082.3499999999,411782.27999999997,440622.97,463566.0,370095.0,2
Civic Center Fund,Civic Center/Concessions Division,Purch for Resale - Concessions,,,,87680.95,146760.0,114762.39,156025.0,148000.0,3
Civic Center Fund,Civic Center/Concessions Division,Supplies - Other,,,,1852.42,9159.49,3986.76,3970.0,8000.0,3
Civic Center Fund,Civic Center/Concessions Division,Materials,,,,5414.73,9711.31,9599.01,7800.0,12000.0,3
Civic Center Fund,Civic Center/Concessions Division,Purch Resale - Mixed Beverage,,,,19286.85,52872.96,10126.7,29370.0,75000.0,3
Civic Center Fund,Civic Center/Concessions Division,Purchases for Resale - Beer,,,,51691.11,92752.73,57570.17,67496.0,140000.0,3
Civic Center Fund,Civic Center/Concessions Division,Contracted Services,,,,11523.76,28613.85,16921.77,21640.0,55000.0,3
Civic Center Fund,Civic Center/Concessions Division,Compensation - Full Time Reg,,,,82785.84,116974.06,115426.18,100076.0,137396.0,3
Civic Center Fund,Civic Center/Concessions Division,Compensation - Temp/Seasonal,,,,64918.55,92416.79,64460.73,67241.0,78000.0,3
Civic Center Fund,Civic Center/Concessions Division,All Other Expenses,,,,8505.519999999999,11773.710000000001,7232.53,8807.0,15720.0,3
Civic Center Fund,Civic Center/Concessions Division,Show Settlement Expense,,,,0.0,0.0,0.0,170000.0,132728.0,3
Civic Center Fund,Civic Center/Concessions Division,Bank Fees,,,,0.0,6047.35,3707.34,5410.0,14000.0,3
Civic Center Fund,Civic Center/Concessions Division,Group Insurance Expense,,,,20162.0,26774.0,26774.0,26774.0,32536.0,3
Civic Center Fund,Civic Center/Concessions Division,FICA Tax Expense,,,,11418.97,15823.23,13309.11,12587.0,16707.0,3
Civic Center Fund,Civic Center/Concessions Division,Employer - LGERS,,,,4281.21,7282.75,7379.23,6745.0,9926.0,3
Civic Center Fund,Civic Center/Concessions Division Total,,,,,369521.91,616962.23,451255.92,683941.0,875013.0,2
Civic Center Fund,Civic Center/Ticket Office,Group Insurance Expense,,,,20162.0,26778.0,26778.0,26778.0,18592.0,3
Civic Center Fund,Civic Center/Ticket Office,All Other Expenses,,,,7303.58,9548.17,9864.1,11321.0,10482.0,3
Civic Center Fund,Civic Center/Ticket Office,Compensation - Temp/Seasonal,,,,33154.47,33230.87,32276.06,28276.0,25000.0,3
Civic Center Fund,Civic Center/Ticket Office,Compensation - Full Time Reg,,,,60916.92,79321.0,80648.88,81217.0,85445.0,3
Civic Center Fund,Civic Center/Ticket Office,FICA Tax Expense,,,,7753.24,8370.0,8235.73,8749.0,8461.0,3
Civic Center Fund,Civic Center/Ticket Office Total,,,,,129290.21,157248.04,157802.77,156341.0,147980.0,2
Civic Center Fund,Civic Center/Civic Center Administration,Maint & Repair - Equipment,,,,17762.2,18552.81,21560.25,18450.0,15000.0,3
Civic Center Fund,Civic Center/Civic Center Administration,Maint & Repair - Buildings,,,,10853.07,27754.94,16752.4,4600.0,28000.0,3
Civic Center Fund,Civic Center/Civic Center Administration,Maintenance and Repairs,,,,3708.32,5637.72,2226.29,21950.0,18000.0,3
Civic Center Fund,Civic Center/Civic Center Administration,Natural Gas,,,,67074.15,54281.78,38955.22,42250.0,60000.0,3
Civic Center Fund,Civic Center/Civic Center Administration,Charges - Cost Allocations,,,,0.0,0.0,0.0,0.0,439032.0,3
Civic Center Fund,Civic Center/Civic Center Administration,Group Insurance Expense,,,,20155.0,22311.0,25962.0,25962.0,37184.0,3
Civic Center Fund,Civic Center/Civic Center Administration,Workers Compensation,,,,36344.0,36444.0,36444.0,36808.0,34256.0,3
Civic Center Fund,Civic Center/Civic Center Administration,Insurance & Bonds,,,,20069.0,20069.0,20069.0,20069.0,51383.0,3
Civic Center Fund,Civic Center/Civic Center Administration,All Other Expenses,,,,11297.68,7975.990000000002,10393.460000000001,22099.0,23898.0,3
Civic Center Fund,Civic Center/Civic Center Administration,Compensation - Full Time Reg,,,,139970.43,153966.05,159371.93,180050.0,211631.0,3
