Fund,Department,Division,Account,Amount,Current,Revenue,Annotation,
Parking Services Fund,Transportation,Parking Garage Divison,Workers Compensation,12108.0,15077.0,false, 
Parking Services Fund,Transportation,Parking Garage Divison,Group Insurance Expense,-6196.0,100707.0,false, 
General Fund,Public Works,Streets & Sidewalks Division,Group Insurance Expense,-18429.0,83664.0,false, 
General Fund,Finance,Accounting Division,All Other Expenses,980.0,7780.0,false, 
General Fund,Police,Police Administration Division,All Other Expenses,-5598.0,2056.0,false, 
Water Services Fund,Water,Meter Services Division,Cellular Usage,7000.0,14000.0,false, 
General Fund,Parks Rec & Cultural Arts,Recreation Division,Compensation - Temp/Seasonal,0.0,22000.0,false, 
General Fund,Parks Rec & Cultural Arts,Recreation Division,Compensation - Part Time,-4449.0,82330.0,false, 
Water Services Fund,Water,Water Production Division,Supplies - Other,-500.0,1500.0,false, 
General Fund,Public Works,Streets & Sidewalks Division,FICA Tax Expense,-1998.0,23558.0,false, 
General Fund,Public Works,Streets & Sidewalks Division,Employer - LGERS,-1847.0,21772.0,false, 
General Fund,Public Works,Streets & Sidewalks Division,Employer - 401(K),-1307.0,15397.0,false, 
Water Services Fund,Water,Customer Service Division,Rental/Lease,0.0,4000.0,false, 
Water Services Fund,Water,Customer Service Division,Contracted Services,0.0,16000.0,false, 
Stormwater Fund,Public Works,Stormwater Admin Division,Installment Purch Proceed,0.0,206000.0,true, 
General Fund,Finance,Finance Administration,Prior Year DMV  Taxes 2005,0.0,186922.0,true, 
General Fund,Human Resources,Organizational Development,All Other Revenues,7000.0,7000.0,true, 
General Fund,Planning & Development,Historic Resources Division,All Other Revenues,0.0,5000.0,true, 
General Fund,Human Resources,Human Resources Administration,All Other Expenses,4694.0,31027.0,false, 
General Fund,Parks Rec & Cultural Arts,Parks Maintenance Division,Rents - Rental Income,0.0,15000.0,true, 
Workers' Compensation Fund,Finance,Workers Compensation,All Other Expenses,-300.0,0.0,false, 
Water Services Fund,Water,Water Production Division,Supplies - Chemical & Lab,43500.0,178500.0,false, 
Water Services Fund,Water,Water Production Division,Supplies - Other,22000.0,24000.0,false, 
Mass Transit Fund,Transportation,Transit Operations Division,Sales Tax Refunds,0.0,25000.0,true, 
General Fund,Legal,Legal Division,Compensation - Full Time Reg,55779.0,496032.0,false, 
General Fund,Legal,Legal Division,Compensation - Temp/Seasonal,45760.0,45760.0,false, 
General Fund,Public Works,Engineering Services Division,Materials,0.0,50000.0,false, 
