LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2010,2011,2012,2013,2014,LEVEL
Workers' Compensation Fund,Finance/Workers Compensation,Charges for Services,,,,0.0,0.0,0.0,0.0,1115000.0,3
Workers' Compensation Fund,Finance/Workers Compensation,Income from Investments,,,,0.0,0.0,0.0,0.0,10000.0,3
Workers' Compensation Fund,Finance/Workers Compensation Total,,,,,0.0,0.0,0.0,0.0,1125000.0,2
Workers' Compensation Fund Total,,,,,,0.0,0.0,0.0,0.0,1125000.0,1
Civic Center Fund,Civic Center/Event Personnel Division,Staff Reimbursement,,,,120591.97,142976.84,125448.9,130000.0,150000.0,3
Civic Center Fund,Civic Center/Event Personnel Division Total,,,,,120591.97,142976.84,125448.9,130000.0,150000.0,2
Civic Center Fund,Civic Center/Concessions Division,Concessions - Mixed Beverages,,,,78261.52,176927.03,81643.91,150000.0,175000.0,3
Civic Center Fund,Civic Center/Concessions Division,Commissions - Catering,,,,24466.34,7368.61,5837.12,7000.0,17000.0,3
Civic Center Fund,Civic Center/Concessions Division,Concessions - Beer & Wine,,,,235686.31,482626.35,255330.63,350000.0,440000.0,3
Civic Center Fund,Civic Center/Concessions Division,Food Sales,,,,169401.94,210386.36,200884.71,215033.0,373922.0,3
Civic Center Fund,Civic Center/Concessions Division,Wrist Band Sales,,,,5774.0,95381.0,37629.0,100000.0,98000.0,3
Civic Center Fund,Civic Center/Concessions Division,Vending Sales,,,,10969.62,9545.3,5094.69,12000.0,10000.0,3
Civic Center Fund,Civic Center/Concessions Division,Catering In - House,,,,24652.53,22567.3,16389.78,25000.0,40000.0,3
Civic Center Fund,Civic Center/Concessions Division,Novelty Sales,,,,48677.5,66598.39,26882.73,50000.0,48000.0,3
Civic Center Fund,Civic Center/Concessions Division Total,,,,,597889.76,1071400.34,629692.57,909033.0,1201922.0,2
Civic Center Fund,Civic Center/Ticket Office,Civic Center Ticket Office,,,,46840.8,59112.63,37305.38,50000.0,45000.0,3
Civic Center Fund,Civic Center/Ticket Office,Civic Ctr Ticket Office Hdlng,,,,-0.0,-0.0,43725.28,170000.0,95000.0,3
Civic Center Fund,Civic Center/Ticket Office Total,,,,,46840.8,59112.63,81030.66,220000.0,140000.0,2
Civic Center Fund,Civic Center/Civic Center Administration,Oper Transfers Gen Fd Subsidy,,,,391315.0,-0.0,392594.0,695685.0,1120576.0,3
Civic Center Fund,Civic Center/Civic Center Administration,Other Miscellaneous Revenue,,,,14414.39,8480.26,31384.99,3500.0,32000.0,3
Civic Center Fund,Civic Center/Civic Center Administration,Rents - Nontaxable Equipment,,,,11550.0,48621.0,48290.5,50000.0,75000.0,3
Civic Center Fund,Civic Center/Civic Center Administration,Rents - Exhibit Space,,,,30675.0,24125.0,20750.0,39860.0,18000.0,3
Civic Center Fund,Civic Center/Civic Center Administration,Rents - Auditorium,,,,120781.58,123825.0,125859.94,130000.0,100000.0,3
Civic Center Fund,Civic Center/Civic Center Administration,Rents - Buildings and Arena,,,,183454.03,178372.7,112150.0,190000.0,175000.0,3
Civic Center Fund,Civic Center/Civic Center Administration,All Other Revenues,,,,3750.0,6000.0,4250.0,0.0,13000.0,3
Civic Center Fund,Civic Center/Civic Center Administration,Rents - Equipment Rental,,,,91297.59,73461.84,33262.75,75000.0,60000.0,3
Civic Center Fund,Civic Center/Civic Center Administration,Income from Investments,,,,14164.39,7997.53,1240.0,5000.0,2000.0,3
Civic Center Fund,Civic Center/Civic Center Administration,Rents - Facility Fees,,,,119719.98,140081.0,172841.5,140000.0,196000.0,3
Civic Center Fund,Civic Center/Civic Center Administration,Civic Center Advertising,,,,-0.0,10000.0,-0.0,-0.0,15000.0,3
Civic Center Fund,Civic Center/Civic Center Administration,2% Capital Maint Fee,,,,68716.04,121798.31,79163.06,90000.0,90000.0,3
Civic Center Fund,Civic Center/Civic Center Administration,Rent - Avl Symphony,,,,-0.0,-0.0,18150.0,-0.0,20000.0,3
Civic Center Fund,Civic Center/Civic Center Administration,Approp Fund Bal Res for Enc,,,,-0.0,-0.0,-0.0,22178.0,-0.0,3
Civic Center Fund,Civic Center/Civic Center Administration,Appropriated Fund Balance,,,,-0.0,-0.0,-0.0,-0.0,60000.0,3
Civic Center Fund,Civic Center/Civic Center Administration Total,,,,,1049838.0,742762.64,1039936.74,1441223.0,1976576.0,2
Civic Center Fund Total,,,,,,1815160.5300000003,2016252.45,1876108.8699999999,2700256.0,3468498.0,1
Street Cut Utility Fund,Public Works/Street Cuts Division,Sales & Serv - Street Patches,,,,-0.0,-0.0,1270685.45,1179123.22,1483814.0,3
Street Cut Utility Fund,Public Works/Street Cuts Division,Sales & Services - Permit Fees,,,,-0.0,40000.0,54268.65,13740.65,-0.0,3
Street Cut Utility Fund,Public Works/Street Cuts Division,Sales & Serv - Cap Recov Fee,,,,-0.0,-0.0,216643.42,206633.63,-0.0,3
Street Cut Utility Fund,Public Works/Street Cuts Division,Installment Purch Proceed,,,,-0.0,-0.0,-0.0,-0.0,100000.0,3
Street Cut Utility Fund,Public Works/Street Cuts Division,All Other Revenues,,,,0.0,0.0,0.0,77.83,0.0,3
Street Cut Utility Fund,Public Works/Street Cuts Division Total,,,,,0.0,40000.0,1541597.5199999998,1399575.33,1583814.0,2
Street Cut Utility Fund,Public Works/CAFR Preparation,Sales & Serv - Cap Recov Fee,,,,-0.0,-0.0,-153705.0,46295.0,-0.0,3
Street Cut Utility Fund,Public Works/CAFR Preparation Total,,,,,0.0,0.0,-153705.0,46295.0,0.0,2
Street Cut Utility Fund Total,,,,,,0.0,40000.0,1387892.5199999998,1445870.33,1583814.0,1
Health Insurance Fund,Human Resources/Group Health Life & Dental,Employee Cont Dental Insurance,,,,0.0,0.0,0.0,0.0,422500.0,3
Health Insurance Fund,Human Resources/Group Health Life & Dental,Employee Cont Health Insurance,,,,0.0,0.0,0.0,0.0,1830940.0,3
Health Insurance Fund,Human Resources/Group Health Life & Dental,Charges for Services - Medical,,,,0.0,0.0,0.0,0.0,1.0536919E7,3
Health Insurance Fund,Human Resources/Group Health Life & Dental,All Other Revenues,,,,0.0,0.0,0.0,0.0,6000.0,3
Health Insurance Fund,Human Resources/Group Health Life & Dental,COBRA,,,,0.0,0.0,0.0,0.0,20400.0,3
Health Insurance Fund,Human Resources/Group Health Life & Dental,Insurance Recovery,,,,0.0,0.0,0.0,0.0,200000.0,3
Health Insurance Fund,Human Resources/Group Health Life & Dental,Appropriated Fund Balance,,,,0.0,0.0,0.0,0.0,750000.0,3
Health Insurance Fund,Human Resources/Group Health Life & Dental,Prescrips Rebates & Refunds,,,,0.0,0.0,0.0,0.0,50000.0,3
Health Insurance Fund,Human Resources/Group Health Life & Dental,Retiree U 65 Healthcare Contr,,,,0.0,0.0,0.0,0.0,351127.0,3
Health Insurance Fund,Human Resources/Group Health Life & Dental Total,,,,,0.0,0.0,0.0,0.0,1.4167886E7,2
Health Insurance Fund Total,,,,,,0.0,0.0,0.0,0.0,1.4167886E7,1
Parking Services Fund,Transportation/Parking Garage Divison,Rents - Rental Income,,,,13251.0,15260.0,22260.0,21800.0,23000.0,3
Parking Services Fund,Transportation/Parking Garage Divison,All Other Revenues,,,,78.44,288.16,150.07,0.0,50.0,3
Parking Services Fund,Transportation/Parking Garage Divison,Appropriated Fund Balance,,,,-0.0,-0.0,-0.0,1050000.0,-0.0,3
Parking Services Fund,Transportation/Parking Garage Divison,Approp Fund Bal Res for Enc,,,,-0.0,-0.0,-0.0,69960.0,-0.0,3
Parking Services Fund,Transportation/Parking Garage Divison,Fines & Fees Pkng Gar Monthly,,,,343881.09,347320.39,425385.42,550000.0,550000.0,3
Parking Services Fund,Transportation/Parking Garage Divison,Fines & Fees After Hrs Parking,,,,268310.99,281913.24,359454.75,350000.0,525000.0,3
Parking Services Fund,Transportation/Parking Garage Divison,Fines & Fees Pkng Gar Transnt,,,,365900.3,478626.54,587011.09,575000.0,750000.0,3
Parking Services Fund,Transportation/Parking Garage Divison,Fines & Fees Pkng Gar Sp Evnts,,,,161007.31,199600.13,215122.25,200000.0,225000.0,3
Parking Services Fund,Transportation/Parking Garage Divison,Income from Investments,,,,21075.41,12100.41,16021.88,20000.0,2544.0,3
Parking Services Fund,Transportation/Parking Garage Divison Total,,,,,1173504.54,1335108.8699999999,1625405.4600000002,2836760.0,2075594.0,2
Parking Services Fund,Transportation/Parking Services Division,Fines & Fees Pkng Cit Penalty,,,,405452.67,172804.92,205457.02,475000.0,400000.0,3
Parking Services Fund,Transportation/Parking Services Division,Fines & Fees Handicap Penalty,,,,10750.0,8376.66,5296.27,12000.0,12000.0,3
Parking Services Fund,Transportation/Parking Services Division,Fines & Fees Adjustments,,,,-197430.67,-66430.0,-65820.0,-177678.0,-75000.0,3
Parking Services Fund,Transportation/Parking Services Division,All Other Revenues,,,,1602.08,2661.13,3666.62,2500.0,2800.0,3
Parking Services Fund,Transportation/Parking Services Division,Fines & Fees Lot 17,,,,-0.0,-0.0,11940.86,30000.0,30000.0,3
Parking Services Fund,Transportation/Parking Services Division,Fines & Fees Peripheral Parkng,,,,33126.57,34659.53,40209.83,35000.0,28000.0,3
Parking Services Fund,Transportation/Parking Services Division,Fines & Fees Parking Cit Fee,,,,198634.0,168549.28,181314.26,275000.0,200000.0,3
Parking Services Fund,Transportation/Parking Services Division,Fines & Fees Bad Debt Recov,,,,45465.77,30045.34,7207.21,15000.0,4000.0,3
Parking Services Fund,Transportation/Parking Services Division,Fines & Fees Handicap Pkg Fee,,,,52250.0,93990.92,70107.48,52732.0,60000.0,3
Parking Services Fund,Transportation/Parking Services Division,Fines & Fees Lot 18,,,,-0.0,-0.0,105.67,-0.0,15000.0,3
Parking Services Fund,Transportation/Parking Services Division,Fines & Fees Prkng Lt Fee Mnth,,,,100961.33,90043.48,57626.34,35000.0,36000.0,3
Parking Services Fund,Transportation/Parking Services Division,Fines & Fees Parking Meters,,,,1002940.4,1051120.76,1103315.94,1075000.0,1239413.0,3
